Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 5 search,,,,2564-03-09 14:32:27,2564-03-09 14:37:55,5m - 28.460s,FAILED
,,,,,,,
Test Cases/Search/TC 501 search by id,,,,2564-03-09 14:32:36,2564-03-09 14:33:35,58.591s,FAILED
"openBrowser("""")",,,,2564-03-09 14:32:38,2564-03-09 14:33:35,56.722s,FAILED
,,,,,,,
Test Cases/Search/TC 502 search by name,,,,2564-03-09 14:33:39,2564-03-09 14:35:53,2m - 14.663s,FAILED
"openBrowser("""")",,,,2564-03-09 14:34:29,2564-03-09 14:35:53,1m - 23.659s,FAILED
,,,,,,,
Test Cases/Search/TC 503 search by graduation year,,,,2564-03-09 14:35:55,2564-03-09 14:37:55,2m - 0.548s,FAILED
"openBrowser("""")",,,,2564-03-09 14:37:03,2564-03-09 14:37:54,51.143s,FAILED
