Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 1 EditProfile,Chrome 88.0.4324.190,,,2564-03-09 14:47:37,2564-03-09 14:49:11,1m - 34.533s,FAILED
,,,,,,,
Test Cases/EditProfile/TC 101 EditProfile pass,Chrome 88.0.4324.190,,,2564-03-09 14:47:38,2564-03-09 14:47:50,12.307s,FAILED
"openBrowser("""")",Chrome 88.0.4324.190,,,2564-03-09 14:47:38,2564-03-09 14:47:43,5.166s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 88.0.4324.190,,,2564-03-09 14:47:43,2564-03-09 14:47:45,1.616s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 88.0.4324.190,,,2564-03-09 14:47:45,2564-03-09 14:47:46,0.626s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Chrome 88.0.4324.190,,,2564-03-09 14:47:46,2564-03-09 14:47:46,0.807s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Chrome 88.0.4324.190,,,2564-03-09 14:47:46,2564-03-09 14:47:47,0.442s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/form""))",Chrome 88.0.4324.190,,,2564-03-09 14:47:47,2564-03-09 14:47:47,0.361s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 88.0.4324.190,,,2564-03-09 14:47:47,2564-03-09 14:47:48,1.200s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/button_""))",Chrome 88.0.4324.190,,,2564-03-09 14:47:48,2564-03-09 14:47:49,0.380s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_""))",Chrome 88.0.4324.190,,,2564-03-09 14:47:49,2564-03-09 14:47:50,1.301s,FAILED
,,,,,,,
Test Cases/EditProfile/TC 102 EditProfile pass,Chrome 88.0.4324.190,,,2564-03-09 14:47:50,2564-03-09 14:48:48,57.463s,FAILED
"openBrowser("""")",Chrome 88.0.4324.190,,,2564-03-09 14:47:51,2564-03-09 14:47:55,4.140s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 88.0.4324.190,,,2564-03-09 14:47:55,2564-03-09 14:47:55,0.385s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 88.0.4324.190,,,2564-03-09 14:47:55,2564-03-09 14:47:56,0.661s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Chrome 88.0.4324.190,,,2564-03-09 14:47:56,2564-03-09 14:47:56,0.697s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Chrome 88.0.4324.190,,,2564-03-09 14:47:56,2564-03-09 14:47:57,0.396s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 88.0.4324.190,,,2564-03-09 14:47:57,2564-03-09 14:47:58,1.169s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/button_""))",Chrome 88.0.4324.190,,,2564-03-09 14:47:58,2564-03-09 14:47:58,0.380s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_""))",Chrome 88.0.4324.190,,,2564-03-09 14:47:58,2564-03-09 14:47:59,0.679s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input__Company_Name""), ""TOT"")",Chrome 88.0.4324.190,,,2564-03-09 14:47:59,2564-03-09 14:48:48,48.482s,FAILED
,,,,,,,
Test Cases/EditProfile/TC 103 EditProfile pass,Chrome 88.0.4324.190,,,2564-03-09 14:48:48,2564-03-09 14:49:11,23.514s,FAILED
"openBrowser("""")",Chrome 88.0.4324.190,,,2564-03-09 14:48:48,2564-03-09 14:48:53,4.520s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 88.0.4324.190,,,2564-03-09 14:48:53,2564-03-09 14:48:54,1.174s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 88.0.4324.190,,,2564-03-09 14:48:54,2564-03-09 14:48:54,0.647s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Chrome 88.0.4324.190,,,2564-03-09 14:48:54,2564-03-09 14:48:55,0.743s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Chrome 88.0.4324.190,,,2564-03-09 14:48:55,2564-03-09 14:48:55,0.389s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 88.0.4324.190,,,2564-03-09 14:48:55,2564-03-09 14:48:59,3.449s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/button_""))",Chrome 88.0.4324.190,,,2564-03-09 14:48:59,2564-03-09 14:48:59,0.418s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_""))",Chrome 88.0.4324.190,,,2564-03-09 14:48:59,2564-03-09 14:49:01,1.349s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_ - _Name_LastName""), ""วรวัฒน์ รัตโนสถ"")",Chrome 88.0.4324.190,,,2564-03-09 14:49:01,2564-03-09 14:49:11,10.548s,FAILED
