Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 2 login,Edge Chromium 89,,,2564-03-09 23:55:12,2564-03-09 23:55:43,31.279s,PASSED
,,,,,,,
Test Cases/login/TC 201 login pass,Edge Chromium 89,,,2564-03-09 23:55:14,2564-03-09 23:55:27,13.599s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-09 23:55:15,2564-03-09 23:55:19,4.532s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-09 23:55:19,2564-03-09 23:55:19,0.301s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-09 23:55:19,2564-03-09 23:55:22,2.307s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-09 23:55:22,2564-03-09 23:55:23,0.999s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-09 23:55:23,2564-03-09 23:55:24,1.383s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-09 23:55:24,2564-03-09 23:55:25,0.741s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-09 23:55:25,2564-03-09 23:55:26,1.144s,PASSED
"verifyTextPresent(""Welcome to"", false)",Edge Chromium 89,,,2564-03-09 23:55:26,2564-03-09 23:55:26,0.232s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-09 23:55:26,2564-03-09 23:55:27,0.980s,PASSED
,,,,,,,
Test Cases/login/TC 202 login failed,Edge Chromium 89,,,2564-03-09 23:55:27,2564-03-09 23:55:35,7.295s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-09 23:55:28,2564-03-09 23:55:30,2.054s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-09 23:55:30,2564-03-09 23:55:30,0.229s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-09 23:55:30,2564-03-09 23:55:32,1.895s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-09 23:55:32,2564-03-09 23:55:33,0.761s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayutz"")",Edge Chromium 89,,,2564-03-09 23:55:33,2564-03-09 23:55:33,0.501s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Edge Chromium 89,,,2564-03-09 23:55:33,2564-03-09 23:55:34,0.341s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-09 23:55:34,2564-03-09 23:55:34,0.553s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Edge Chromium 89,,,2564-03-09 23:55:34,2564-03-09 23:55:34,0.130s,PASSED
alertText = getAlertText(),Edge Chromium 89,Get text alert on the alert when it's shown,,2564-03-09 23:55:34,2564-03-09 23:55:34,0.055s,PASSED
"verifyMatch(alertText, ""กรุณาสมัครสมาชิกก่อนค่ะ!"", false)",Edge Chromium 89,Verify text alert is correct or not,,2564-03-09 23:55:34,2564-03-09 23:55:35,0.062s,PASSED
,,,,,,,
Test Cases/login/TC 203 login failed,Edge Chromium 89,,,2564-03-09 23:55:35,2564-03-09 23:55:43,8.670s,PASSED
"openBrowser("""")",Edge Chromium 89,,,2564-03-09 23:55:36,2564-03-09 23:55:38,2.789s,PASSED
"setViewPortSize(1600, 900)",Edge Chromium 89,,,2564-03-09 23:55:38,2564-03-09 23:55:39,0.354s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Edge Chromium 89,,,2564-03-09 23:55:39,2564-03-09 23:55:40,1.135s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Edge Chromium 89,,,2564-03-09 23:55:40,2564-03-09 23:55:41,0.727s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Edge Chromium 89,,,2564-03-09 23:55:41,2564-03-09 23:55:41,0.688s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""qyB36BqYIPA="")",Edge Chromium 89,,,2564-03-09 23:55:41,2564-03-09 23:55:42,0.452s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), Keys.chord(ENTER))",Edge Chromium 89,,,2564-03-09 23:55:42,2564-03-09 23:55:42,0.468s,PASSED
"verifyAlertPresent(0, STOP_ON_FAILURE)",Edge Chromium 89,,,2564-03-09 23:55:42,2564-03-09 23:55:42,0.024s,PASSED
closeBrowser(),Edge Chromium 89,,,2564-03-09 23:55:42,2564-03-09 23:55:43,0.906s,PASSED
