Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
UC 4 Profile,Chrome 89.0.4389.90,,,2564-03-23 20:04:46,2564-03-23 20:07:29,2m - 42.249s,FAILED
,,,,,,,
Test Cases/UC4_Profile/TC 401 Profile pass,Chrome 89.0.4389.90,,,2564-03-23 20:04:48,2564-03-23 20:05:33,44.823s,FAILED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 20:04:49,2564-03-23 20:04:53,4.350s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 20:04:53,2564-03-23 20:04:56,2.792s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 20:04:56,2564-03-23 20:04:57,0.962s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""thanayut1"")",Chrome 89.0.4389.90,,,2564-03-23 20:04:57,2564-03-23 20:04:58,0.932s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""SFTQUhjBfIY="")",Chrome 89.0.4389.90,,,2564-03-23 20:04:58,2564-03-23 20:04:58,0.640s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 20:04:58,2564-03-23 20:05:00,1.905s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/button_""))",Chrome 89.0.4389.90,,,2564-03-23 20:05:00,2564-03-23 20:05:01,0.585s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a__1""))",Chrome 89.0.4389.90,,,2564-03-23 20:05:01,2564-03-23 20:05:33,31.994s,FAILED
,,,,,,,
Test Cases/UC4_Profile/TC 402 Profile ID card,Chrome 89.0.4389.90,,,2564-03-23 20:05:33,2564-03-23 20:06:31,58.004s,FAILED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 20:05:34,2564-03-23 20:05:42,7.865s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 20:05:42,2564-03-23 20:05:45,3.086s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 20:05:45,2564-03-23 20:05:47,1.669s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Chrome 89.0.4389.90,,,2564-03-23 20:05:47,2564-03-23 20:05:49,2.581s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Chrome 89.0.4389.90,,,2564-03-23 20:05:49,2564-03-23 20:05:51,1.605s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 20:05:51,2564-03-23 20:05:53,2.457s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/button_""))",Chrome 89.0.4389.90,,,2564-03-23 20:05:53,2564-03-23 20:05:54,0.458s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a__1""))",Chrome 89.0.4389.90,,,2564-03-23 20:05:54,2564-03-23 20:06:31,37.548s,FAILED
,,,,,,,
Test Cases/UC4_Profile/TC 403 Profile name,Chrome 89.0.4389.90,,,2564-03-23 20:06:32,2564-03-23 20:07:29,56.699s,FAILED
"openBrowser("""")",Chrome 89.0.4389.90,,,2564-03-23 20:06:37,2564-03-23 20:06:49,12.019s,PASSED
"navigateToUrl(""http://localhost/Alumni/index.php/Alumni/index"")",Chrome 89.0.4389.90,,,2564-03-23 20:06:49,2564-03-23 20:06:52,3.175s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a_Login""))",Chrome 89.0.4389.90,,,2564-03-23 20:06:52,2564-03-23 20:06:53,0.769s,PASSED
"setText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Username""), ""earth"")",Chrome 89.0.4389.90,,,2564-03-23 20:06:53,2564-03-23 20:06:54,0.817s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_Password""), ""VIjOZClaB9I="")",Chrome 89.0.4389.90,,,2564-03-23 20:06:54,2564-03-23 20:06:55,0.872s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/input_Register_login""))",Chrome 89.0.4389.90,,,2564-03-23 20:06:55,2564-03-23 20:06:56,1.143s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/button_""))",Chrome 89.0.4389.90,,,2564-03-23 20:06:56,2564-03-23 20:06:56,0.410s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/button_""))",Chrome 89.0.4389.90,,,2564-03-23 20:06:56,2564-03-23 20:06:57,0.366s,PASSED
"click(findTestObject(""Object Repository/Page_NPRU Alumni/a__1""))",Chrome 89.0.4389.90,,,2564-03-23 20:06:57,2564-03-23 20:07:29,31.831s,FAILED
